scan_number,RT,pepmass,intensity,summed_ms2_intensity,126.0917,147.113,175.119,pass_threshold
2594,1512.140464,553.2568359375,21896.8515625,81991.66235351619,no,no,no,no
2597,1512.94568,635.31982421875,21740.93359375,59069.9523925783,no,no,no,no
2598,1513.213942,821.026123046875,0.0,97244.60070800809,no,no,no,no
2602,1514.205782,1227.030639648438,5852.2236328125,59090.60144042989,no,no,no,no
2608,1516.193206,532.208557128906,31211.60546875,73174.2443847658,no,no,no,no
2609,1516.462213,453.229858398438,8332.43359375,100291.33862304717,no,no,no,no
2611,1516.65967,485.205261230469,5836.79541015625,34821.4428710938,no,no,no,no
2613,1517.056305,456.743835449219,16567.23828125,55649.68652343771,no,no,no,no
2617,1518.251003,380.527282714844,5923.84716796875,70399.2243652349,no,yes,no,no
2630,1523.016346,1101.599975585938,0.0,51749.4243164064,no,no,no,no
2633,1523.8143,566.784912109375,4118.40478515625,50772.97644043,no,no,no,no
2636,1524.610507,1158.5703125,0.0,48396.0020751955,no,no,no,no
2639,1525.418494,646.282043457031,32109.408203125,28188.005249023503,no,no,no,no
2644,1527.005826,481.588836669922,4978.76953125,43468.7962646488,no,no,no,no
2649,1528.596271,741.196899414063,16448.681640625,37808.5871582034,no,no,no,no
2652,1529.393852,680.333679199219,28134.79296875,53129.9309082035,no,no,no,no
2654,1529.791582,439.200378417969,19018.216796875,51979.37316894551,no,no,no,no
2655,1530.059724,453.22021484375,10724.7041015625,87196.4338378909,no,no,no,no
2661,1531.826761,643.247985839844,0.0,40157.356811523605,no,no,no,no
2666,1533.423956,696.818115234375,6174.51953125,61895.931396484506,no,no,no,no
2668,1533.821945,586.775573730469,5900.69775390625,58360.53393554699,no,no,no,no
2669,1534.090326,1318.097290039063,0.0,72392.7552490238,no,no,no,no
2672,1534.691153,560.253356933594,54394.87109375,87215.13269042989,no,no,no,yes
2674,1535.087526,610.750671386719,20253.0703125,49237.9005126956,no,no,no,no
2675,1535.355947,456.209838867188,8369.166015625,106748.87902832098,no,no,no,no
2681,1537.125308,380.207061767578,20132.3515625,67812.44909668001,no,yes,no,no
2683,1537.52393,1024.710815429688,0.0,65707.0070800784,no,no,no,no
2685,1537.920291,510.254791259766,13897.3828125,32568.716552734604,no,no,no,no
2686,1538.189049,567.776550292969,0.0,110041.71166992269,no,no,no,no
2688,1538.383297,387.722442626953,49955.18359375,80811.5450439455,no,yes,no,no
